parameter_set,epsilon,q,acceptance_ratio,rejection_rate,sd,renyi,feasible,rejection_reason,selected
frodo640,0.40000000000000002,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.41338655464046509,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.42722110889378551,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.44151865568820237,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.45629468971108933,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.47156522420101821,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.48734680830179339,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.50365654499726398,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.52051210964634831,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.53793176913835972,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.55593440168939146,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.57453951730121466,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.59376727890486247,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.61363852421181297,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.63417478829645235,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.65539832693429201,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.67733214072123016,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.69999999999999996,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo976,0.40000000000000002,5966,7.28271484375000000e-1,2.71728515625000000e-1,1.02707495970835082e-4,1.00942251786473543e0,false,hard_constraint_failed,false
frodo976,0.41338655464046509,5966,7.28271484375000000e-1,2.71728515625000000e-1,1.02707495970835082e-4,1.00942251786473543e0,false,hard_constraint_failed,false
frodo976,0.42722110889378551,1229,6.00097656250000000e-1,3.99902343750000000e-1,7.61526145019129826e-4,4.88631460168070509e0,false,hard_constraint_failed,false
frodo976,0.44151865568820237,1229,6.00097656250000000e-1,3.99902343750000000e-1,7.61526145019129826e-4,4.88631460168070509e0,false,hard_constraint_failed,false
frodo976,0.45629468971108933,1229,6.00097656250000000e-1,3.99902343750000000e-1,7.61526145019129826e-4,4.88631460168070509e0,false,hard_constraint_failed,false
frodo976,0.47156522420101821,1229,6.00097656250000000e-1,3.99902343750000000e-1,7.61526145019129826e-4,4.88631460168070509e0,false,hard_constraint_failed,false
frodo976,0.48734680830179339,1229,6.00097656250000000e-1,3.99902343750000000e-1,7.61526145019129826e-4,4.88631460168070509e0,false,hard_constraint_failed,false
frodo976,0.50365654499726398,278,5.42968750000000000e-1,4.57031250000000000e-1,3.82448827625553764e-3,1.05250953914893064e0,false,hard_constraint_failed,false
frodo976,0.52051210964634831,278,5.42968750000000000e-1,4.57031250000000000e-1,3.82448827625553764e-3,1.05250953914893064e0,false,hard_constraint_failed,false
frodo976,0.53793176913835972,278,5.42968750000000000e-1,4.57031250000000000e-1,3.82448827625553764e-3,1.05250953914893064e0,false,hard_constraint_failed,false
frodo976,0.55593440168939146,278,5.42968750000000000e-1,4.57031250000000000e-1,3.82448827625553764e-3,1.05250953914893064e0,false,hard_constraint_failed,false
frodo976,0.57453951730121466,88,6.87500000000000000e-1,3.12500000000000000e-1,8.02440846336880951e-3,1.03756249312545980e0,false,hard_constraint_failed,false
frodo976,0.59376727890486247,88,6.87500000000000000e-1,3.12500000000000000e-1,8.02440846336880951e-3,1.03756249312545980e0,false,hard_constraint_failed,false
frodo976,0.61363852421181297,88,6.87500000000000000e-1,3.12500000000000000e-1,8.02440846336880951e-3,1.03756249312545980e0,false,hard_constraint_failed,false
frodo976,0.63417478829645235,1,1.00000000000000000e0,0,6.84383550409075681e-1,3.16836037057748652e0,false,hard_constraint_failed,false
frodo976,0.65539832693429201,1,1.00000000000000000e0,0,6.84383550409075681e-1,3.16836037057748652e0,false,hard_constraint_failed,false
frodo976,0.67733214072123016,1,1.00000000000000000e0,0,6.84383550409075681e-1,3.16836037057748652e0,false,hard_constraint_failed,false
frodo976,0.69999999999999996,1,1.00000000000000000e0,0,6.84383550409075681e-1,3.16836037057748652e0,false,hard_constraint_failed,false
frodo1344,0.40000000000000002,102,7.96875000000000000e-1,2.03125000000000000e-1,2.09275094909977051e-3,1.02237749246311505e0,false,hard_constraint_failed,false
frodo1344,0.41338655464046509,102,7.96875000000000000e-1,2.03125000000000000e-1,2.09275094909977051e-3,1.02237749246311505e0,false,hard_constraint_failed,false
frodo1344,0.42722110889378551,102,7.96875000000000000e-1,2.03125000000000000e-1,2.09275094909977051e-3,1.02237749246311505e0,false,hard_constraint_failed,false
frodo1344,0.44151865568820237,102,7.96875000000000000e-1,2.03125000000000000e-1,2.09275094909977051e-3,1.02237749246311505e0,false,hard_constraint_failed,false
frodo1344,0.45629468971108933,88,6.87500000000000000e-1,3.12500000000000000e-1,3.33305969437098990e-3,1.17594894974047733e0,false,hard_constraint_failed,false
frodo1344,0.47156522420101821,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.48734680830179339,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.50365654499726398,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.52051210964634831,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.53793176913835972,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.55593440168939146,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.57453951730121466,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.59376727890486247,14,8.75000000000000000e-1,1.25000000000000000e-1,2.36722911518023043e-2,1.24169919135807848e0,false,hard_constraint_failed,false
frodo1344,0.61363852421181297,4,1.00000000000000000e0,0,1.02981803995549004e-1,1.21529584211008211e0,false,hard_constraint_failed,false
frodo1344,0.63417478829645235,4,1.00000000000000000e0,0,1.02981803995549004e-1,1.21529584211008211e0,false,hard_constraint_failed,false
frodo1344,0.65539832693429201,4,1.00000000000000000e0,0,1.02981803995549004e-1,1.21529584211008211e0,false,hard_constraint_failed,false
frodo1344,0.67733214072123016,4,1.00000000000000000e0,0,1.02981803995549004e-1,1.21529584211008211e0,false,hard_constraint_failed,false
frodo1344,0.69999999999999996,4,1.00000000000000000e0,0,1.02981803995549004e-1,1.21529584211008211e0,false,hard_constraint_failed,false
